id,name,risk_score,risk_category,exposure,sector,geography,trend,trend_value,revenue,ebitda,employee_count,debt_service_coverage,current_ratio,cash_reserves,total_debt,incorporation_date,last_review_date,bank_rating,pd_original,pd_adjusted,score_previous,score_change_reason,score_financial,score_operational,score_market,score_altdata,net_profit_margin,loan_origination_date,sector_health,geography_risk,compliance_status,drawn_amount
3467,Digital Media Labs,45,stable,165000,Marketing Services,UK,down,-1,1650000,295000,31,2.1,1.7,285000,370000,10/12/2017,22/10/2024,BBB+,0.8,0.7,49,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,37,39,47,38,11.1,01/12/2019,deteriorating,low,compliant,40000
3578,Green Energy Solutions,35,stable,285000,Energy/Utilities,UK,stable,1,2850000,595000,58,2.7,2.2,485000,520000,25/08/2016,20/10/2024,A,0.7,0.7,35,No significant signal changes in review period,27,37,31,34,12.9,01/08/2018,stable,low,compliant,50000
3689,Highland Manufacturing,58,medium,275000,Manufacturing,UK,up,6,2750000,455000,56,1.7,1.4,285000,680000,17/03/2015,16/10/2024,BBB,1.8,2.4,53,Margin pressure -3pts; working capital tightening -2pts,62,53,54,61,10.3,01/03/2017,stable,low,compliant,130000
3790,Metro Fashion Group,65,medium,285000,Retail/Fashion,UK,up,10,2850000,425000,52,1.4,1.1,205000,880000,08/10/2014,12/10/2024,BBB-,2.4,3.2,60,Margin pressure -3pts; working capital tightening -2pts,60,60,65,65,9.2,01/10/2016,deteriorating,medium,watch,190000
3901,Bright Tech Systems,42,stable,145000,Software/Technology,UK,stable,0,1450000,295000,27,2.2,1.8,315000,330000,22/05/2018,23/10/2024,BBB+,0.7,0.7,42,No significant signal changes in review period,38,43,37,42,12.6,01/05/2020,improving,low,compliant,50000
4012,Capital Construction Ltd,68,critical,395000,Construction,UK,up,12,3950000,545000,75,1.2,1,255000,1750000,14/09/2012,10/10/2024,BB+,3,5.4,54,CFO resignation -12pts; cash reserves declining -5pts; covenant watch -3pts,74,74,71,77,8.6,01/09/2014,deteriorating,medium,watch,365000
4123,Eco Retail Solutions,55,medium,215000,Retail/Fashion,EU,up,5,2150000,345000,40,1.8,1.4,205000,570000,28/07/2016,18/10/2024,BBB,1.6,2.2,50,Margin pressure -3pts; working capital tightening -2pts,50,53,61,56,9.9,01/07/2018,deteriorating,medium,compliant,140000
4234,Northern Tech Group,48,stable,185000,Software/Technology,UK,down,-2,1850000,355000,35,2,1.7,305000,400000,15/11/2017,21/10/2024,BBB,0.8,0.7,52,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,43,49,46,41,11.9,01/11/2019,improving,low,compliant,70000
4345,Premium Logistics Ltd,38,stable,255000,Transportation,UK,stable,0,2550000,465000,54,2.5,2,425000,510000,20/05/2015,19/10/2024,BBB+,0.7,0.7,38,No significant signal changes in review period,33,32,35,31,11.3,01/05/2017,stable,low,compliant,80000
4456,Urban Food Services,62,medium,245000,Food/Hospitality,UK,up,8,2450000,375000,51,1.5,1.2,195000,730000,12/12/2014,14/10/2024,BBB-,2.2,3,57,Market exposure increase -4pts; late payments flag -2pts,65,62,61,60,9.5,01/12/2016,deteriorating,low,watch,170000
4567,Digital Solutions Lab,52,medium,175000,Software/Technology,UK,up,4,1750000,325000,33,1.9,1.5,275000,420000,18/02/2018,22/10/2024,BBB,1.4,1.9,47,Market exposure increase -4pts; late payments flag -2pts,50,51,51,55,11.5,01/02/2020,improving,low,compliant,95000
4678,Fashion Retail Express,65,medium,295000,Retail/Fashion,UK,up,9,2950000,445000,55,1.4,1.1,215000,910000,25/08/2015,13/10/2024,BBB-,2.4,3.2,60,Market exposure increase -4pts; late payments flag -2pts,60,60,65,65,9.4,01/08/2017,deteriorating,medium,watch,175000
4789,Green Manufacturing Co,58,medium,265000,Manufacturing,UK,up,7,2650000,435000,53,1.7,1.3,285000,670000,10/03/2016,17/10/2024,BBB,1.8,2.4,53,Sector headwinds -4pts; revenue softening -3pts,62,53,54,61,10.2,01/03/2018,stable,low,compliant,175000
4890,Highland Tech Partners,45,stable,155000,Software/Technology,UK,down,-1,1550000,305000,30,2.1,1.7,295000,360000,08/07/2018,24/10/2024,BBB+,0.8,0.7,49,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,37,39,47,38,12.2,01/07/2020,improving,low,compliant,50000
5001,Metro Construction Group,72,critical,425000,Construction,UK,up,15,4250000,565000,82,1.1,0.9,265000,1900000,20/06/2011,08/10/2024,BB,3.8,8,62,CFO resignation -12pts; cash reserves declining -5pts; covenant watch -3pts,74,75,67,78,8.2,01/06/2013,deteriorating,medium,breach,410000
5112,Coastal Fashion Ltd,62,medium,235000,Retail/Fashion,UK,up,8,2350000,365000,45,1.5,1.2,195000,700000,15/09/2016,15/10/2024,BBB-,2.2,3,57,Sector headwinds -4pts; revenue softening -3pts,65,62,61,60,9.6,01/09/2018,deteriorating,medium,watch,155000
5223,Bright Consulting Group,32,stable,195000,Professional Services,UK,stable,1,1950000,425000,40,2.8,2.3,465000,320000,22/04/2017,23/10/2024,A,0.6,0.6,32,No significant signal changes in review period,27,28,33,31,13.5,01/04/2019,stable,low,compliant,35000
5334,Northern Energy Ltd,35,stable,295000,Energy/Utilities,UK,stable,0,2950000,615000,62,2.7,2.2,495000,540000,18/10/2016,20/10/2024,A,0.7,0.7,35,No significant signal changes in review period,27,37,31,34,12.9,01/10/2018,stable,low,compliant,95000
5445,Urban Manufacturing Co,55,medium,255000,Manufacturing,UK,up,5,2550000,425000,52,1.8,1.4,295000,630000,08/12/2015,18/10/2024,BBB,1.6,2.2,50,Margin pressure -3pts; working capital tightening -2pts,50,53,61,56,10.3,01/12/2017,stable,low,compliant,160000
5556,Digital Marketing Pro,52,medium,165000,Marketing Services,UK,up,4,1650000,285000,30,1.9,1.5,255000,390000,25/08/2017,21/10/2024,BBB,1.4,1.9,47,Market exposure increase -4pts; late payments flag -2pts,50,51,51,55,10.7,01/08/2019,deteriorating,low,compliant,75000
5667,Fashion Dynamics Ltd,58,medium,245000,Retail/Fashion,EU,up,7,2450000,375000,46,1.7,1.3,205000,650000,12/05/2016,16/10/2024,BBB,1.8,2.4,53,Market exposure increase -4pts; late payments flag -2pts,62,53,54,61,9.5,01/05/2018,deteriorating,medium,compliant,125000
5778,Green Tech Systems,38,stable,145000,Software/Technology,UK,down,-3,1450000,295000,27,2.4,1.9,325000,300000,05/11/2018,25/10/2024,BBB+,0.7,0.6,42,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,33,32,35,31,12.6,01/11/2020,improving,low,compliant,35000
5889,Highland Logistics Group,42,stable,265000,Transportation,UK,stable,0,2650000,475000,56,2.2,1.8,415000,520000,18/07/2015,19/10/2024,BBB+,0.7,0.7,42,No significant signal changes in review period,38,43,37,42,11.1,01/07/2017,stable,low,compliant,45000
5990,Premium Retail Partners,62,medium,285000,Retail/Fashion,UK,up,8,2850000,425000,53,1.5,1.2,205000,840000,20/11/2014,14/10/2024,BBB-,2.2,3,57,Margin pressure -3pts; working capital tightening -2pts,65,62,61,60,9.2,01/11/2016,deteriorating,medium,watch,145000
6101,Metro Tech Solutions,48,stable,175000,Software/Technology,UK,down,-2,1750000,335000,33,2,1.7,305000,390000,15/03/2018,22/10/2024,BBB,0.8,0.7,52,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,43,49,46,41,11.9,01/03/2020,improving,low,compliant,30000
6212,Coastal Construction Ltd,68,critical,385000,Construction,UK,up,13,3850000,535000,74,1.2,1,245000,1650000,08/08/2012,09/10/2024,BB+,3,5.4,54,CEO departure -10pts; revenue decline -8% -6pts; sector headwinds -4pts,74,74,71,77,8.6,01/08/2014,deteriorating,medium,watch,310000
6323,Bright Energy Solutions,35,stable,275000,Energy/Utilities,UK,stable,1,2750000,585000,56,2.7,2.2,475000,510000,22/12/2016,20/10/2024,A,0.7,0.7,35,No significant signal changes in review period,27,37,31,34,13.2,01/12/2018,stable,low,compliant,95000
6434,Northern Retail Group,65,medium,295000,Retail/Fashion,UK,up,9,2950000,445000,55,1.4,1.1,215000,900000,15/04/2015,13/10/2024,BBB-,2.4,3.2,60,Market exposure increase -4pts; late payments flag -2pts,60,60,65,65,9.4,01/04/2017,deteriorating,medium,watch,160000
6545,Urban Tech Labs,42,stable,155000,Software/Technology,UK,stable,0,1550000,315000,29,2.2,1.8,315000,340000,20/06/2018,23/10/2024,BBB+,0.7,0.7,42,No significant signal changes in review period,38,43,37,42,12.6,01/06/2020,improving,low,compliant,40000
6656,Digital Food Services,58,medium,255000,Food/Hospitality,UK,up,6,2550000,395000,54,1.7,1.3,205000,680000,10/10/2015,17/10/2024,BBB,1.8,2.4,53,Market exposure increase -4pts; late payments flag -2pts,62,53,54,61,9.6,01/10/2017,deteriorating,low,compliant,130000
6767,Fashion Express Group,62,medium,275000,Retail/Fashion,EU,up,8,2750000,415000,51,1.5,1.2,205000,770000,05/08/2016,15/10/2024,BBB-,2.2,3,57,Sector headwinds -4pts; revenue softening -3pts,65,62,61,60,9.4,01/08/2018,deteriorating,medium,watch,140000
6878,Green Manufacturing Ltd,55,medium,245000,Manufacturing,UK,up,5,2450000,415000,50,1.8,1.4,285000,610000,28/11/2015,18/10/2024,BBB,1.6,2.2,50,Market exposure increase -4pts; late payments flag -2pts,50,53,61,56,10.5,01/11/2017,stable,low,compliant,170000
6989,Highland Software Co,38,stable,145000,Software/Technology,UK,down,-3,1450000,295000,26,2.4,1.9,335000,290000,18/09/2018,24/10/2024,BBB+,0.7,0.6,42,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,33,32,35,31,12.6,01/09/2020,improving,low,compliant,50000
7090,Metro Logistics Partners,45,stable,275000,Transportation,UK,stable,0,2750000,495000,58,2.1,1.8,435000,540000,12/06/2015,19/10/2024,BBB+,0.8,0.8,45,No significant signal changes in review period,37,39,47,38,11.2,01/06/2017,stable,low,compliant,90000
7201,Coastal Marketing Hub,52,medium,185000,Marketing Services,UK,up,4,1850000,325000,35,1.9,1.5,275000,410000,08/12/2017,21/10/2024,BBB,1.4,1.9,47,Market exposure increase -4pts; late payments flag -2pts,50,51,51,55,10.9,01/12/2019,deteriorating,low,compliant,90000
7312,Bright Retail Solutions,62,medium,265000,Retail/Fashion,UK,up,8,2650000,395000,49,1.5,1.2,205000,760000,20/04/2016,15/10/2024,BBB-,2.2,3,57,Market exposure increase -4pts; late payments flag -2pts,65,62,61,60,9.2,01/04/2018,deteriorating,medium,watch,170000
7423,Northern Tech Systems,48,stable,165000,Software/Technology,UK,down,-2,1650000,325000,31,2,1.7,295000,380000,25/02/2018,22/10/2024,BBB,0.8,0.7,52,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,43,49,46,41,12.2,01/02/2020,improving,low,compliant,35000
7534,Urban Energy Group,35,stable,285000,Energy/Utilities,UK,stable,1,2850000,595000,59,2.7,2.2,485000,530000,15/10/2016,20/10/2024,A,0.7,0.7,35,No significant signal changes in review period,27,37,31,34,12.9,01/10/2018,stable,low,compliant,75000
7645,Digital Construction Co,72,critical,415000,Construction,UK,up,14,4150000,555000,78,1.1,0.9,255000,1850000,22/05/2012,08/10/2024,BB,3.8,8,62,CEO departure -10pts; revenue decline -8% -6pts; sector headwinds -4pts,74,75,67,78,8.3,01/05/2014,deteriorating,medium,breach,400000
7756,Fashion Retail Group,65,medium,285000,Retail/Fashion,UK,up,9,2850000,435000,53,1.4,1.1,215000,880000,18/09/2015,13/10/2024,BBB-,2.4,3.2,60,Sector headwinds -4pts; revenue softening -3pts,60,60,65,65,9.5,01/09/2017,deteriorating,medium,watch,200000
7867,Green Tech Partners,42,stable,155000,Software/Technology,UK,stable,0,1550000,305000,29,2.2,1.8,305000,350000,12/07/2018,23/10/2024,BBB+,0.7,0.7,42,No significant signal changes in review period,38,43,37,42,12.2,01/07/2020,improving,low,compliant,55000
7978,Highland Manufacturing Ltd,58,medium,275000,Manufacturing,UK,up,6,2750000,455000,55,1.7,1.4,285000,690000,05/12/2015,16/10/2024,BBB,1.8,2.4,53,Market exposure increase -4pts; late payments flag -2pts,62,53,54,61,10.3,01/12/2017,stable,low,compliant,160000
8089,Metro Fashion Partners,62,medium,245000,Retail/Fashion,UK,up,8,2450000,375000,47,1.5,1.2,195000,720000,20/06/2016,17/10/2024,BBB-,2.2,3,57,Margin pressure -3pts; working capital tightening -2pts,65,62,61,60,9.5,01/06/2018,deteriorating,medium,watch,150000
8190,Coastal Tech Solutions,45,stable,165000,Software/Technology,UK,down,-1,1650000,315000,31,2.1,1.7,295000,370000,15/04/2018,22/10/2024,BBB+,0.8,0.7,49,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,37,39,47,38,11.8,01/04/2020,improving,low,compliant,65000
8301,Bright Logistics Ltd,38,stable,265000,Transportation,UK,stable,0,2650000,475000,55,2.5,2,425000,520000,08/08/2015,19/10/2024,BBB+,0.7,0.7,38,No significant signal changes in review period,33,32,35,31,11.1,01/08/2017,stable,low,compliant,100000
8412,Northern Food Services,62,medium,255000,Food/Hospitality,UK,up,8,2550000,385000,53,1.5,1.2,195000,740000,25/10/2014,14/10/2024,BBB-,2.2,3,57,Margin pressure -3pts; working capital tightening -2pts,65,62,61,60,9.4,01/10/2016,deteriorating,low,watch,130000
8523,Urban Software Labs,48,stable,175000,Software/Technology,UK,down,-2,1750000,335000,33,2,1.7,305000,390000,20/03/2018,23/10/2024,BBB,0.8,0.7,52,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,43,49,46,41,11.9,01/03/2020,improving,low,compliant,30000
8634,Digital Retail Express,65,medium,295000,Retail/Fashion,EU,up,9,2950000,445000,54,1.4,1.1,215000,910000,15/07/2015,13/10/2024,BBB-,2.4,3.2,60,Margin pressure -3pts; working capital tightening -2pts,60,60,65,65,9.4,01/07/2017,deteriorating,medium,watch,155000
8745,Fashion Tech Group,55,medium,235000,Retail/Fashion,UK,up,6,2350000,365000,45,1.8,1.4,205000,650000,08/11/2016,18/10/2024,BBB,1.6,2.2,50,Margin pressure -3pts; working capital tightening -2pts,50,53,61,56,9.6,01/11/2018,deteriorating,medium,compliant,120000
8856,Green Construction Co,68,critical,395000,Construction,UK,up,12,3950000,545000,76,1.2,1,255000,1700000,20/09/2012,10/10/2024,BB+,3,5.4,54,CEO departure -10pts; revenue decline -8% -6pts; sector headwinds -4pts,74,74,71,77,8.6,01/09/2014,deteriorating,medium,watch,315000
8967,Highland Retail Ltd,58,medium,245000,Retail/Fashion,UK,up,7,2450000,375000,46,1.7,1.3,205000,660000,25/05/2016,16/10/2024,BBB,1.8,2.4,53,Margin pressure -3pts; working capital tightening -2pts,62,53,54,61,9.5,01/05/2018,deteriorating,medium,compliant,170000
9078,Metro Tech Group,42,stable,155000,Software/Technology,UK,stable,0,1550000,305000,29,2.2,1.8,315000,340000,10/08/2018,24/10/2024,BBB+,0.7,0.7,42,No significant signal changes in review period,38,43,37,42,12.2,01/08/2020,improving,low,compliant,65000
9189,Coastal Energy Ltd,35,stable,285000,Energy/Utilities,UK,stable,1,2850000,595000,58,2.7,2.2,485000,520000,15/12/2016,20/10/2024,A,0.7,0.7,35,No significant signal changes in review period,27,37,31,34,12.9,01/12/2018,stable,low,compliant,70000
9290,Bright Manufacturing Co,55,medium,265000,Manufacturing,UK,up,5,2650000,435000,53,1.8,1.4,285000,660000,22/10/2015,18/10/2024,BBB,1.6,2.2,50,Sector headwinds -4pts; revenue softening -3pts,50,53,61,56,10.2,01/10/2017,stable,low,compliant,165000
9401,Northern Software Labs,38,stable,145000,Software/Technology,UK,down,-3,1450000,295000,27,2.4,1.9,325000,300000,12/11/2018,25/10/2024,BBB+,0.7,0.6,42,Strong trading -3pts; improved cash position -2pts; sector recovery -1pt,33,32,35,31,12.6,01/11/2020,improving,low,compliant,40000
9512,Urban Logistics Group,45,stable,275000,Transportation,UK,stable,0,2750000,495000,57,2.1,1.8,435000,540000,18/06/2015,19/10/2024,BBB+,0.8,0.8,45,No significant signal changes in review period,37,39,47,38,11.2,01/06/2017,stable,low,compliant,115000
9623,Digital Fashion Hub,62,medium,265000,Retail/Fashion,UK,up,8,2650000,395000,49,1.5,1.2,205000,760000,12/04/2016,15/10/2024,BBB-,2.2,3,57,Margin pressure -3pts; working capital tightening -2pts,65,62,61,60,9.2,01/04/2018,deteriorating,medium,watch,150000
9734,Fashion Solutions Ltd,65,medium,285000,Retail/Fashion,EU,up,9,2850000,435000,52,1.4,1.1,215000,880000,08/09/2015,13/10/2024,BBB-,2.4,3.2,60,Margin pressure -3pts; working capital tightening -2pts,60,60,65,65,9.5,01/09/2017,deteriorating,medium,watch,145000
9845,Green Tech Labs,42,stable,155000,Software/Technology,UK,stable,0,1550000,305000,29,2.2,1.8,305000,350000,20/07/2018,23/10/2024,BBB+,0.7,0.7,42,No significant signal changes in review period,38,43,37,42,12.2,01/07/2020,improving,low,compliant,35000
9956,Highland Construction Ltd,72,critical,425000,Construction,UK,up,15,4250000,565000,81,1.1,0.9,265000,1900000,15/05/2011,08/10/2024,BB,3.8,8,62,CFO resignation -12pts; cash reserves declining -5pts; covenant watch -3pts,74,75,67,78,8.2,01/05/2013,deteriorating,medium,breach,410000
